Code,Group Clause,Atomic Clause,Content
General Provisions,Classified Uses,A1-1.0: Explanation,"Explanation. For the purposes of this building code buildings are classified according to type, under seven categories. A building with a given classified use may have one or more intended uses as defined in the Act."
General Provisions,Classified Uses,A1-2.0: Housing,"Housing. Applies to buildings or use where there is self care and service (internal management). There are three types: (1) Detached dwellings—applies to a building or use where a group of people live as a single household or family. Examples: a holiday cottage, boarding house accommodating fewer than 6 people, dwelling or hut: (2) Multi-unit dwelling—Applies to a building or use which contains more than one separate household or family. Examples: an attached dwelling, flat or multi-unit apartment. (3) Group dwelling—Applies to a building or use where groups of people live as one large extended family. Examples: within a commune or marae."
General Provisions,Classified Uses,A1-3.0: Communcal residential,"Communal residential. Applies to buildings or use where assistance or care is extended to the principal users. There are two types: (1) Community service—Applies to a residential building or use where limited assistance or care is extended to the principal users. Examples: a boarding house, hall of residence, holiday cabin, backcountry hut, hostel, hotel, motel, nurses’ home, retirement village, time-share accommodation, a work camp, or camping ground. (2) Community care—Applies to a residential building or use where a large degree of assistance or care is extended to the principal users. There are two types: (a) Unrestrained; where the principal users are free to come and go. Examples: a hospital, an old people’s home or a health camp. (b) Restrained; where the principal users are legally or physically constrained in their movements. Examples: a borstal or drug rehabilitation centre, an old people’s home where substantial care is extended, a prison or hospital."
General Provisions,Classified Uses,A1-4.0: Communal non-residential.,"Communal non-residential. Applies to a building or use being a meeting place for people where care and service is provided by people other than the principal users. There are two types: (1) Assembly service—Applies to a building or use where limited care and service is provided. Examples: a church, cinema, clubroom, hall, museum, public swimming pool, stadium, theatre, or whare runanga (the assembly house). (2) Assembly care—Applies to a building or use where a large degree of care and service is provided. Examples: an early childhood education and care centre, college, day care institution, centre for handicapped persons, kindergarten, school or university."
General Provisions,Classified Uses,A1.5.0: Commercial,"Commercial. Applies to a building or use in which any natural resources, goods, services or money are either developed, sold, exchanged or stored. Examples: an amusement park, auction room, bank, car-park, catering facility, coffee bar, computer centre, fire station, funeral parlour, hairdresser, library, office (commercial or government), Police station, post office, public laundry, radio station, restaurant, service station, shop, showroom, storage facility, television station or transport terminal."
General Provisions,Classified Uses,A1.6.0: Industrial,"Industrial. Applies to a building or use where people use material and physical effort to: (a) extract or convert natural resources, (b) produce goods or energy from natural or converted resources, (c) repair goods, or (d) store goods (ensuing from the industrial process). Examples: an agricultural building, agricultural processing facility, aircraft hangar, factory, power station, sewage treatment works, warehouse or utility."
General Provisions,Classified Uses,A1.7.0: Outbuildings,"Outbuildings. Applies to a building or use which may be included within each classified use but are not intended for human habitation, and are accessory to the principal use of associated buildings. Examples: a carport, farm building, garage, greenhouse, machinery room, private swimming pool, public toilet, or shed."
General Provisions,Classified Uses,A1.8.0: Ancillary,"Ancilary. Applies to a building or use not for human habitation and which may be exempted from some amenity provisions, but which are required to comply with structural and safety-related aspects of the building code. Examples: a bridge, derrick, fence, free-standing outdoor fireplace, jetty, mast, path, platform, pylon, retaining wall, tank, tunnel or dam."
General Provisions,Interpretation,A2: Interpretation,"In this building code unless the context otherwise requires, words shall have the meanings given under this clause. Meanings given in the Building Act 1991 apply equally to the building code."
General Provisions,Interpretation,A2: access route,"access route: a continuous route that permits people and goods to move between the apron or construction edge of the building to spaces within a building, and between spaces within a building"
General Provisions,Interpretation,A2: accessible,accessible: having features to permit use by people with disabilities
General Provisions,Interpretation,A2: accessible route,accessible route: an access route usable by people with disabilities. It shall be a continuous route that can be negotiated unaided by a wheelchair user. The route shall extend from street boundary or carparking area to those spaces within the building required to be accessible to enable people with disabilities to carry out normal activities and processes within the building
General Provisions,Interpretation,A2: adequate,adequate: means adequate to achieve the objectives of the building code
General Provisions,Interpretation,A2: adjacent building,"adjacent building: a nearby building, including an adjoining building, whether or not erected on other property"
